SUS;SUS;;;;;;;;;;;;;
SUS_ADJ;Imposters;;;;;;;;;;;;;
SUS_liberal;Yellow Imposters;;;;;;;;;;;;;
SUS_conservative;Blue Imposters;;;;;;;;;;;;;
SUS_reactionary;Grey Imposters;;;;;;;;;;;;;
SUS_reactionary2;Dark Grey Imposters;;;;;;;;;;;;;
SUS_conservative_2;Cyan Imposters;;;;;;;;;;;;;
SUS_liberal_2;Orange Imposters;;;;;;;;;;;;;
SUS_anarcho_liberal;Green Imposters;;;;;;;;;;;;;
SUS_socialist;Red Importers;;;;;;;;;;;;;
SUS_communist;Red kinda Sus;;;;;;;;;;;;;
SUS_fascist;F in the Chat;;;;;;;;;;;;;
SUS_Form_title;Become Sus;;;;;;;;;;;;;
SUS_Form_desc;Do you want to be the Imposter?;;;;;;;;;;;;;
CUM;CUM;;;;;;;;;;;;;
CUM_ADJ;Coomers;;;;;;;;;;;;;
CUM_liberal;Yankee Faction;;;;;;;;;;;;;
CUM_conservative;British Faction;;;;;;;;;;;;;
CUM_reactionary;Mexican Faction;;;;;;;;;;;;;
CUM_reactionary2;Burito Council;;;;;;;;;;;;;
CUM_conservative_2;French Faction;;;;;;;;;;;;;
CUM_conservative_4;FREEEEEDOM;;;;;;;;;;;;;
CUM_liberal_2;BURGER PARTY;;;;;;;;;;;;;
CUM_socialist;Redheads;;;;;;;;;;;;;
CUM_communist;Red kinda Sus;;;;;;;;;;;;;
CUM_anarcho_liberal; anarcho CUM PARTY;;;;;;;;;;;;;
CUM_fascist;F for America;;;;;;;;;;;;;
CUM_Form_title;CUM.;;;;;;;;;;;;;
CUM_Form_desc;If you click this button, you are a Coomer;;;;;;;;;;;;;
Coomer_Effect;Coomers Land;;;;;;;;;;;;;
Greek_Embrace_title;Destroy the Greek independence;;;;;;;;;;;;;
Greek_Embrace_desc;Invade Greece now, for the $COUNTRY$. Show no merci slaughter them like sheep! Oh no they're fighting back oh Shit they're really good...;;;;;;;;;;;;;
make_peace_with_polish_title;Accept the polish;;;;;;;;;;;;;
make_peace_with_polish_desc;This will definitly cause some trouble;;;;;;;;;;;;;
attack_the_dutch_FRA_title;Attack the Dutch!!;;;;;;;;;;;;;
attack_the_dutch_FRA_desc;We have no idea, why we are doing this!;;;;;;;;;;;;;
attack_the_dutch_ENG_title;Reunite with our brothers;;;;;;;;;;;;;
attack_the_dutch_ENG_desc;We have no idea, why we are doing this!;;;;;;;;;;;;;
reject_neutrality_title;Reject neutrality;;;;;;;;;;;;;
reject_neutrality_desc;Return to WAR!;;;;;;;;;;;;;
world_conquest_title;So it begins;;;;;;;;;;;;;
world_conquest_desc;The Great Conquest of our time;;;;;;;;;;;;;
claim_south_germany_title;Claim Soth Germany;;;;;;;;;;;;;
claim_south_germany_desc;It doesn't belong to us, but we don't care;;;;;;;;;;;;;
claim_central_america_title;Claim Central America;;;;;;;;;;;;;
claim_central_america_desc;This will not cause any trouble ;;;;;;;;;;;;;
claim_the_baltic_terr_title;Claim the Baltic;;;;;;;;;;;;;
claim_the_baltic_terr_desc;We want control over the entire Baltic Sea!;;;;;;;;;;;;;
claim_Hawaii11_title;Claim Hawaii;;;;;;;;;;;;;
claim_Hawaii11_desc;It is a strategic important Position;;;;;;;;;;;;;
annex_swiss_title;Annex Switzerland;;;;;;;;;;;;;
annex_swiss_desc;We welcome them in our mighty country;;;;;;;;;;;;;
greater_Persia_title;Announce Greater Persia;;;;;;;;;;;;;
greater_Persia_desc;But it is neither Great or Persia;;;;;;;;;;;;;
great_Showdown_title;The Great Showdown;;;;;;;;;;;;;
great_Showdown_desc;announce the last war against our old enemy;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_TUR_PER;THE GREAT SHOWDOWN;;;;;;;;;;;;;
IAA;Oceania;;;;;;;;;;;;;
IAA_ADJ;Oceanian;;;;;;;;;;;;;
IAA_liberal; Liberals;;;;;;;;;;;;;
IAA_conservative; Tory Party;;;;;;;;;;;;;
IAA_socialist; Indonesian Socialist Partai of Struggle;;;;;;;;;;;;;
IAA_liberal_2; Liberal Party of Down Under;;;;;;;;;;;;;
IAA_conservative_2; Partai Golongan Karya;;;;;;;;;;;;;
IAA_communist; CPA;;;;;;;;;;;;;
IAA_reactionary; National Party of Australia;;;;;;;;;;;;;
IAA_anarcho_liberal; Australian Labor Party;;;;;;;;;;;;;
IAA_fascist; NPO;;;;;;;;;;;;;
DUA;Anglofrancia;;;;;;;;;;;;;
DUA_ADJ;Anglofrench;;;;;;;;;;;;;
DUA_liberal; Liberals;;;;;;;;;;;;;
DUA_conservative; French Party;;;;;;;;;;;;;
DUA_socialist; English Socialist Partai of Struggle;;;;;;;;;;;;;
DUA_liberal_2; Birthday Party ;;;;;;;;;;;;;
DUA_conservative_2; French Right Wing;;;;;;;;;;;;;
DUA_communist; CPA;;;;;;;;;;;;;
DUA_reactionary; National Party of England;;;;;;;;;;;;;
DUA_anarcho_liberal; French Labor Party;;;;;;;;;;;;;
DUA_fascist; AFNS;;;;;;;;;;;;;
ozeanien_get_cores_title; Unite Oceania;;;;;;;;;;;;;
ozeanien_get_cores_desc; AUSSIE AND ASIANS UNITED IN A COUNTRY;;;;;;;;;;;;;
ozeanien_claim_cores_title; Oceania claims more cores;;;;;;;;;;;;;
ozeanien_claim_cores_desc; There is more territory that belongs to us;;;;;;;;;;;;;
